Отбор...;
156;51,83830527
157;52,4342147
158;53,72133287
159;54,13789358
160;51,00603396
161;53,55607556
162;51,54896384
163;53,10414635
164;51,79167636
165;49,65445162
166;52,7126631
167;50,29488971
168;51,86596021
169;49,91444106
170;51,52938249
171;52,74989428
172;50,94843582
173;53,0901655
174;52,81971285
175;52,34531965
176;50,20600126
177;52,98320021
178;51,92133118
179;50,82082893
180;50,60467561
181;52,43166269
182;51,99575663
183;52,06883681
184;51,35969612
185;52,54272347
186;52,1956974
187;52,28730425
188;52,395185
189;51,79427864
190;50,93995128
191;51,89929926
192;51,63999836
193;51,19752032
194;49,51005132
195;52,3148567
196;52,45850371
197;53,1897711
198;52,00173482
199;53,41188349
200;53,18598106
Population 9;
Отбор лучших...;
Скрещивание...;
101;50,89837758
102;50,17011523
103;52,5645024
104;53,12100719
105;52,80477476
106;50,18752291
107;50,04342252
108;51,94520562
109;51,81641958
110;52,85409481
111;53,83364502
112;51,60543476
113;53,88514578
114;52,51170739
115;52,9658237
116;52,08531906
117;49,38829025
118;52,26521925
119;50,25147292
120;53,37448717
121;52,29622597
122;52,11568799
123;51,57019646
124;51,77721273
125;52,2623308
126;52,77093185
127;52,20012356
128;51,38341111
129;51,81955806
130;53,53819173
131;53,09648802
132;51,35177247
133;53,54414426
134;49,9698092
135;52,44751709
136;51,36153425
137;52,70203812
138;51,80952886
139;53,81174076
140;51,47668021
141;52,18238011
142;51,57863839
143;51,31712651
144;51,85812198
145;51,99347377
146;50,46727534
147;50,9810338
148;51,89700561
149;52,77112918
150;53,15388239
151;52,38828253
152;51,94760871
153;51,46720995
154;52,04355463
155;52,84299023
156;51,85160215
157;51,52036964
158;53,37787683
159;51,72764039
160;53,35588722
161;52,34800363
162;51,39493233
163;51,27966774
164;52,00864039
165;52,93606957
166;52,31323941
167;53,01164943
168;52,66418023
169;52,01117573
170;51,55011679
171;50,46275998
172;49,67408812
173;51,06532961
174;50,33668844
175;51,47557242
176;53,81124841
177;52,25089895
178;51,7919799
179;51,81097281
180;52,12614602
181;52,15461806
182;50,65099015
183;50,0431741
184;52,96873189
185;52,07153359
186;53,01470485
187;51,79293616
188;52,67889267
189;52,82890378
190;53,66848017
191;53,13204631
192;52,14067763
193;52,72976737
194;53,35180546
195;52,70515074
196;50,30459808
197;52,67415062
198;52,10682683
199;50,88672118
200;52,58281564
Population 10;
Отбор лучших...;
Скрещивание...;
101;50,16637372
102;53,31740545
103;51,6779537
104;52,52390596
105;51,9792517
106;52,46084395
107;53,62569773
108;51,73652681
109;50,94986795
110;50,81260739
111;50,65517935
112;53,00591831
113;49,53632956
114;53,18529381
115;50,44630553
116;52,2862973
117;52,02256322
118;52,46163231
119;51,74594362
120;52,67313105
121;51,96000815
122;50,81078123
123;52,80374788
124;51,87543824
125;53,50146857
126;51,21953427
127;52,31928884
128;53,21486371
129;51,40985202
130;53,5053128
131;52,62593235
132;51,24735933
133;52,34379701
134;50,82029118
135;53,33790277
136;52,22408333
137;51,88463831
138;53,15644417
139;53,39628583
140;52,91873053
141;52,12122136
142;53,20982239
143;52,29682396
144;50,20112687
145;52,40735817
146;53,60697147
147;53,2800466
148;52,70795033
149;52,23365398
150;53,71455911
151;52,93900668
152;51,79944542
153;51,67891444
154;52,97789489
155;53,13871007
156;51,4660997
157;51,83295639
158;53,34408951
159;50,28580947
160;53,24074643
161;53,23456296
162;53,13557881
163;52,61980984
164;51,15299668
165;53,24341947
166;51,02253025
167;52,62974191
168;51,45179031
169;50,14703642
170;52,59279852
171;52,18079165
172;51,55899664
173;51,52690274
174;50,39446688
175;51,65583569
176;50,80570669
177;51,5972061
178;50,79265103
179;51,24799274
180;51,98984821
181;51,44378925
182;51,25159526
183;53,20777475
184;51,98063447
185;50,7620214
186;52,08337012
187;50,75870417
188;52,68187345
189;52,3900676
190;52,67812715
191;53,54050151
192;52,00077724
193;51,73586948
194;53,04248716
195;51,96923337
196;49,8071196
197;51,00139115
198;53,57926292
199;51,59542453
200;53,06917409
Population 11;
Отбор лучших...;
Скрещивание...;
101;53,83792173
102;51,62730102
103;51,04732104
104;51,57735022
105;51,90608717
106;52,47536067
107;51,39652577
108;54,21057591
109;50,33854334
110;51,1538821
111;52,86059298
112;52,04279923
113;53,54250406
114;53,31966046
115;52,67036936
116;53,20640358
117;50,85224503
118;51,78585062
119;51,59263532
120;50,94268464
121;50,05025003
122;50,9035892
123;52,58817927
124;53,0722035
125;50,44038582
126;52,33701273
127;52,59833065
128;53,41731556
129;52,6989657
130;52,73914583
131;51,48108868
132;51,81236965
133;52,83605322
134;52,30742554
135;50,30997053
136;52,24479226
137;51,5655855
138;53,03617539
139;50,63508682
140;51,3344611
141;53,02550747
142;53,16149709
143;52,29430767
144;51,7418399
145;51,60244345
146;52,92204239
147;51,64803446
148;53,09941974
149;51,95749271
150;49,15887231
151;52,1443723
152;50,45439907
153;52,10646401
154;51,55229291
155;51,52180192
156;52,38028233
157;53,05932442
158;51,84111766
159;53,45015199
160;51,70144652
161;52,88648591
162;50,08503573
163;51,93325611
164;52,31342404
165;50,92037939
166;51,41611503
167;51,92643907
168;52,59524673
169;51,67270449
170;52,53912534
171;53,21943111
172;52,31666409
173;52,99559684
174;50,70359151
175;52,977335
176;51,01533273
177;52,79760114
178;54,13328727
179;53,31603718
180;53,03935939
181;53,25854324
182;49,75313655
183;52,71101449
184;51,15506733
185;53,46839987
186;51,71045727
187;53,44893983
188;53,22033779
189;52,9578865
190;51,46149251
191;51,67123573
192;52,15759845
193;52,43731799
194;50,54445444
195;50,49039431
196;51,63793894
197;51,63458679
198;52,47094855
199;50,33176197
200;51,90439908
Population 12;
Отбор лучших...;
Скрещивание...;
101;52,82398266
102;52,75088814
103;51,02118391
104;51,73240071
105;50,90278407
106;52,2001933
107;50,86935139
108;51,52209825
109;52,32276617
110;53,69680847
111;49,85637261
112;51,89047289
113;52,1710731
114;53,55903151
115;49,71861972
116;52,23238256
117;52,80591453
118;51,5069685
119;51,34701679
120;52,33478873
121;52,88723617
122;51,81311553
123;52,95294235
124;52,24124055
125;51,85433173
126;51,78952286
127;51,13870498
128;54,16160183
129;52,3519367
130;51,11325452
131;50,37320225
132;52,38491482
133;52,12931721
134;52,39411125
135;49,88535244
136;53,36541865
137;49,83782112
138;53,66433081
139;52,15986256
140;53,84460693
141;51,10847885
142;53,40722523
143;52,67264308
144;52,81729584
145;52,50933514
146;50,34548087
147;51,57583472
148;53,43595255
149;53,99910232
150;52,87005042
151;52,05885943
152;53,03814467
153;51,5213274
154;54,09189133
155;52,67967088
156;53,08077576
157;52,90992875
158;52,73855352
159;51,77370647
160;52,49871843
161;49,64889342
162;49,6518465
163;52,16846605
164;52,02713764
165;53,02685112
166;51,4171633
167;52,04708988
168;51,48841254
169;52,66653586
170;50,70461492
171;50,90533276
172;52,44592667
173;51,92564865
174;52,82817156
175;52,99993278
176;52,85080546
177;51,42122855
178;52,01923419
179;53,77607067
180;53,17978881
181;50,36887863
182;51,93694158
183;50,8929257
184;53,84847231
185;52,61999575
186;51,84896152
187;53,96003971
188;51,54829017
189;52,71427948
190;53,49092796
191;53,00911144
192;53,36556536
193;50,2685832
194;51,70771775
195;53,32282272
196;52,03873233
197;52,64531863
198;53,22208909
199;51,65288097
200;51,30284248
Population 13;
Отбор лучших...;
Скрещивание...;
101;51,85177455
102;51,60393921
103;52,52508086
104;51,14842335
105;51,90556442
106;51,47057385
107;53,6065102
108;50,96921461
109;53,8233646
110;51,59484774
111;53,1358301
112;53,13740564
113;51,53514479
114;52,04925207
115;51,29801035
116;53,0678443
117;52,52708188
118;52,083972
119;53,66324801
120;51,31105171
121;51,41340384
122;51,84573057
123;50,77464929
124;52,13232452
125;51,95091521
126;53,62724383
127;49,77867711
128;51,36665399
129;53,48887513
130;51,29548425
131;53,3643061
132;50,49419066
133;52,03391499
134;51,72923398
135;50,2758761
136;52,9582445
137;52,50167174
138;51,69473955
139;53,07230988
140;52,07869149
141;53,42063252
142;53,13600339
143;51,19437907
144;52,86874344
145;52,33819647
146;50,84116726
147;53,09888187
148;52,74494268
